Air,—,28.97,132.5,3.77,0.0883
Ammonia,NH3,17.03,405.5,11.28,0.0724
Argon,Ar,39.948,151,4.86,0.0749
Benzene,C6H6,78.115,562,4.92,0.2603
Bromine,Br2,159.808,584,10.34,0.1355
n-Butane,C4H10,58.124,425.2,3.80,0.2547
Carbon dioxide,CO2,44.01,304.2,7.39,0.0943
Carbon monoxide,CO,28.011,133,3.50,0.0930
Carbon tetrachloride,CCl4,153.82,556.4,4.56,0.2759
Chlorine,Cl2,70.906,417,7.71,0.1242
Chloroform,CHCl3,119.38,536.6,5.47,0.2403
Dichlorodifluoromethane (R-12),CCl2F2,120.91,384.7,4.01,0.2179
Dichlorofluoromethane (R-21),CHCl2F,102.92,451.7,5.17,0.1973
Ethane,C2H6,30.070,305.5,4.48,0.1480
Ethyl alcohol,C2H5OH,46.07,516,6.38,0.1673
Ethylene,C2H4,28.054,282.4,5.12,0.1242
Helium,He,4.003,5.3,0.23,0.0578
n-Hexane,C6H14,86.179,507.9,3.03,0.3677
Hydrogen (normal),H2,2.016,33.3,1.30,0.0649
Krypton,Kr,83.80,209.4,5.50,0.0924
Methane,CH4,16.043,191.1,4.64,0.0993
Methyl alcohol,CH3OH,32.042,513.2,7.95,0.1180
Methyl chloride,CH3Cl,50.488,416.3,6.68,0.1430
Neon,Ne,20.183,44.5,2.73,0.0417
Nitrogen,N2,28.013,126.2,3.39,0.0899
Nitrous oxide,N2O,44.013,309.7,7.27,0.0961
Oxygen,O2,31.999,154.8,5.08,0.0780
Propane,C3H8,44.097,370,4.26,0.1998
Propylene,C3H6,42.081,365,4.62,0.1810
Sulfur dioxide,SO2,64.063,430.7,7.88,0.1217
Tetrafluoroethane (R-134a),CF3CH2F,102.03,374.2,4.059,0.1993
Trichlorofluoromethane (R-11),CCl3F,137.37,471.2,4.38,0.2478
Water,H2O,18.015,647.1,22.06,0.0560
Xenon,Xe,131.30,289.8,5.88,0.1186
